,0,1,2
0,Internal - Not Solved0,sa min,1.1246596669495164e-29
1,Solved - Not Solved1,sa min,2.9990091333983697e-148
2,Internal - Not Solved2,sa min,5.588168877826973e-77
3,Internal - Not Solved0,sa max,3.8612133514686655e-116
4,Solved - Not Solved1,sa max,4.090432316446289e-200
5,Internal - Not Solved2,sa max,2.0373129286505583e-128
6,Internal - Not Solved0,sa avg,2.2737271844624294e-131
7,Solved - Not Solved1,sa avg,3.864033074084869e-281
8,Internal - Not Solved2,sa avg,1.1484964934495542e-148
9,Internal - Not Solved0,sc min,0.9999999999987196
10,Solved - Not Solved1,sc min,1.0
11,Internal - Not Solved2,sc min,1.0
12,Internal - Not Solved0,sc max,1.1527760002001653e-10
13,Solved - Not Solved1,sc max,9.332351358313107e-63
14,Internal - Not Solved2,sc max,0.001763978255068935
15,Internal - Not Solved0,sc avg,0.9979074700498902
16,Solved - Not Solved1,sc avg,0.9575780890355123
17,Internal - Not Solved2,sc avg,0.9999773455990476
18,Internal - Not Solved0,ra min,9.786575660826767e-08
19,Solved - Not Solved1,ra min,0.006990322563569377
20,Internal - Not Solved2,ra min,5.142511929546145e-08
21,Internal - Not Solved0,ra max,1.4903431855108144e-05
22,Solved - Not Solved1,ra max,0.015736229304604075
23,Internal - Not Solved2,ra max,3.285438175502474e-05
24,Internal - Not Solved0,ra avg,1.058343270630307e-06
25,Solved - Not Solved1,ra avg,0.01058166690258278
26,Internal - Not Solved2,ra avg,1.3181206267863367e-06
27,Internal - Not Solved0,syba min,5.254420922971373e-30
28,Solved - Not Solved1,syba min,2.006519172847756e-06
29,Internal - Not Solved2,syba min,2.1109973989518443e-40
30,Internal - Not Solved0,syba max,4.368504295557215e-09
31,Solved - Not Solved1,syba max,0.9999999990485717
32,Internal - Not Solved2,syba max,1.5200442888265054e-11
33,Internal - Not Solved0,syba avg,8.486717898576605e-19
34,Solved - Not Solved1,syba avg,0.8264084961778411
35,Internal - Not Solved2,syba avg,8.694929605286653e-26
